EUCRBRDT Comdty,RUB CBRF Curncy,EURUSD Curncy,Date
24.37,5.5540,1.2713,1/2/97
24.27,5.5540,1.2577,1/3/97
24.27,5.5540,1.2577,1/4/97
24.27,5.5540,1.2577,1/5/97
24.73,5.5540,1.2516,1/6/97
24.75,5.5540,1.2547,1/7/97
25.00,5.5950,1.2470,1/8/97
24.86,5.5950,1.2447,1/9/97
24.44,5.5950,1.2396,1/10/97
24.44,5.5950,1.2396,1/11/97
24.44,5.5950,1.2396,1/12/97
23.58,5.5950,1.2367,1/13/97
23.21,5.5970,1.2323,1/14/97
23.59,5.5990,1.2356,1/15/97
23.34,5.6020,1.2334,1/16/97
22.60,5.6040,1.2192,1/17/97
22.60,5.6060,1.2192,1/18/97
22.60,5.6060,1.2192,1/19/97
22.67,5.6060,1.2107,1/20/97
22.44,5.6090,1.2092,1/21/97
22.73,5.6130,1.1970,1/22/97
22.77,5.6150,1.1969,1/23/97
22.59,5.6180,1.2057,1/24/97
22.59,5.6200,1.2057,1/25/97
22.59,5.6200,1.2057,1/26/97
22.45,5.6200,1.1980,1/27/97
22.54,5.6230,1.1878,1/28/97
23.07,5.6250,1.1926,1/29/97
23.48,5.6270,1.1955,1/30/97
22.82,5.6300,1.1966,1/31/97
22.82,5.6320,1.1966,2/1/97
22.82,5.6320,1.1966,2/2/97
22.94,5.6320,1.1906,2/3/97
22.73,5.6350,1.1922,2/4/97
22.77,5.6380,1.1877,2/5/97
22.04,5.6400,1.1871,2/6/97
21.30,5.6410,1.1725,2/7/97
21.30,5.6420,1.1725,2/8/97
21.30,5.6420,1.1725,2/9/97
20.97,5.6420,1.1829,2/10/97
21.19,5.6440,1.1727,2/11/97
20.64,5.6460,1.1646,2/12/97
20.54,5.6500,1.1612,2/13/97
20.44,5.6530,1.1610,2/14/97
20.44,5.6580,1.1610,2/15/97
20.44,5.6580,1.1610,2/16/97
20.44,5.6580,1.1523,2/17/97
20.49,5.6590,1.1565,2/18/97
20.80,5.6620,1.1539,2/19/97
20.46,5.6640,1.1584,2/20/97
20.17,5.6660,1.1627,2/21/97
20.17,5.6680,1.1627,2/22/97
20.17,5.6680,1.1627,2/23/97
19.46,5.6680,1.1718,2/24/97
19.87,5.6700,1.1670,2/25/97
20.06,5.6710,1.1582,2/26/97
19.90,5.6740,1.1574,2/27/97
19.40,5.6760,1.1573,2/28/97
19.40,5.6780,1.1573,3/1/97
19.40,5.6780,1.1573,3/2/97
19.17,5.6780,1.1534,3/3/97
19.70,5.6820,1.1436,3/4/97
19.52,5.6890,1.1422,3/5/97
19.43,5.6920,1.1386,3/6/97
19.71,5.6950,1.1386,3/7/97
19.71,5.6950,1.1386,3/8/97
19.71,5.6950,1.1386,3/9/97
19.04,5.6950,1.1481,3/10/97
19.00,5.6970,1.1469,3/11/97
19.25,5.6990,1.1486,3/12/97
19.34,5.7010,1.1492,3/13/97
19.50,5.7030,1.1501,3/14/97
19.50,5.7060,1.1501,3/15/97
19.50,5.7060,1.1501,3/16/97
19.06,5.7060,1.1551,3/17/97
19.63,5.7080,1.1625,3/18/97
19.64,5.7110,1.1612,3/19/97
19.46,5.7140,1.1574,3/20/97
19.21,5.7160,1.1601,3/21/97
19.21,5.7180,1.1601,3/22/97
19.21,5.7180,1.1601,3/23/97
18.67,5.7180,1.1570,3/24/97
18.74,5.7210,1.1551,3/25/97
18.39,5.7230,1.1555,3/26/97
18.58,5.7250,1.1654,3/27/97
18.58,5.7270,1.1654,3/28/97
18.58,5.7270,1.1654,3/29/97
18.58,5.7270,1.1654,3/30/97
18.58,5.7270,1.1654,3/31/97
18.15,5.7290,1.1708,4/1/97
17.59,5.7310,1.1708,4/2/97
17.21,5.7410,1.1726,4/3/97
16.73,5.7390,1.1677,4/4/97
16.73,5.7390,1.1677,4/5/97
16.73,5.7390,1.1677,4/6/97
16.81,5.7390,1.1457,4/7/97
16.99,5.7380,1.1450,4/8/97
16.83,5.7400,1.1392,4/9/97
17.43,5.7410,1.1410,4/10/97
17.38,5.7430,1.1371,4/11/97
17.38,5.7460,1.1371,4/12/97
17.38,5.7460,1.1371,4/13/97
17.67,5.7460,1.1378,4/14/97
17.41,5.7470,1.1308,4/15/97
17.61,5.7490,1.1340,4/16/97
16.97,5.7510,1.1357,4/17/97
17.05,5.7500,1.1410,4/18/97
17.05,5.7500,1.1410,4/19/97
17.05,5.7500,1.1410,4/20/97
17.57,5.7500,1.1485,4/21/97
17.31,5.7470,1.1425,4/22/97
17.46,5.7470,1.1417,4/23/97
17.87,5.7470,1.1392,4/24/97
17.92,5.7450,1.1340,4/25/97
17.92,5.7450,1.1340,4/26/97
17.92,5.7450,1.1340,4/27/97
17.91,5.7450,1.1325,4/28/97
18.24,5.7430,1.1348,4/29/97
18.21,5.7440,1.1303,4/30/97
18.02,5.7440,1.1379,5/1/97
17.67,5.7440,1.1319,5/2/97
17.67,5.7480,1.1319,5/3/97
17.67,5.7480,1.1319,5/4/97
17.67,5.7480,1.1319,5/5/97
17.77,5.7550,1.1352,5/6/97
17.88,5.7590,1.1379,5/7/97
18.41,5.7510,1.1453,5/8/97
18.65,5.7510,1.1546,5/9/97
18.65,5.7490,1.1546,5/10/97
18.65,5.7490,1.1546,5/11/97
19.52,5.7490,1.1500,5/12/97
19.52,5.7510,1.1529,5/13/97
19.27,5.7565,1.1517,5/14/97
19.20,5.7575,1.1526,5/15/97
20.09,5.7600,1.1557,5/16/97
20.09,5.7570,1.1557,5/17/97
20.09,5.7570,1.1557,5/18/97
19.90,5.7570,1.1480,5/19/97
19.74,5.7550,1.1555,5/20/97
19.93,5.7550,1.1555,5/21/97
19.98,5.7710,1.1565,5/22/97
19.88,5.7540,1.1581,5/23/97
19.88,5.7560,1.1581,5/24/97
19.88,5.7560,1.1581,5/25/97
19.88,5.7560,1.1581,5/26/97
19.32,5.7560,1.1502,5/27/97
19.33,5.7575,1.1515,5/28/97
19.57,5.7670,1.1521,5/29/97
19.20,5.7670,1.1465,5/30/97
19.20,5.7680,1.1465,5/31/97
19.20,5.7680,1.1465,6/1/97
19.22,5.7680,1.1342,6/2/97
18.60,5.7850,1.1343,6/3/97
18.42,5.7780,1.1328,6/4/97
17.82,5.7640,1.1326,6/5/97
17.20,5.7620,1.1317,6/6/97
17.20,5.7650,1.1317,6/7/97
17.20,5.7650,1.1317,6/8/97
17.08,5.7650,1.1446,6/9/97
16.88,5.7640,1.1388,6/10/97
16.65,5.7620,1.1409,6/11/97
16.74,5.7620,1.1361,6/12/97
16.99,5.7640,1.1271,6/13/97
16.99,5.7620,1.1271,6/14/97
16.99,5.7620,1.1271,6/15/97
16.86,5.7620,1.1329,6/16/97
17.16,5.7600,1.1307,6/17/97
17.17,5.7600,1.1350,6/18/97
17.33,5.7600,1.1361,6/19/97
17.32,5.7610,1.1316,6/20/97
17.32,5.7610,1.1316,6/21/97
17.32,5.7610,1.1316,6/22/97
17.63,5.7610,1.1379,6/23/97
